,ID,RENTA,EDAD,NIV_EDUC,E_CIVIL,COD_OFI,COD_COM,CIUDAD,D_Marzo,D_Abril,D_Mayo,D_Junio,D_Julio,D_Agosto,D_Septiembre,M_MOROSO,MONTO,FUGA,FUGA_COD,CIUDAD_COD,log_RENTA,log_MONTO,RATIO_DEUDA,IS_SANTIAGO,IS_ARICA,IS_CONCEPCION,IS_COD_OFI_27,IS_COD_OFI_31,IS_COD_OFI_55,IS_COD_OFI_90,IS_COD_OFI_138,IS_COD_COM_1,IS_COD_COM_88,IS_COD_COM_89,IS_COD_COM_90,IS_COD_COM_119,IS_COD_COM_226,IS_MONTO_8M,SEGURO_NO,SEGURO_SI,GENERO_F,GENERO_M,NIV_EDUC_COD_COL,NIV_EDUC_COD_UNV,E_CIVIL_COD_CAS,E_CIVIL_COD_SOL
2061,2062,89174,40.0,BAS,CAS,47,291.0,PUERTO MONTT,0,546867,0,0,52,0,62,2,1200000,NO FUGA,0,PUERTO MONTT,11.398356010227092,13.997832948091215,0.8762675860036077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
2062,2063,776601,52.0,TEC,CAS,45,119.0,SANTIAGO,0,0,11363,0,3,0,0,1,8000000,NO FUGA,0,SANTIAGO,13.562683271604742,15.894952224644102,0.002090979979239201,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0
2063,2064,7114907,34.0,TEC,VIU,53,105.0,SANTIAGO,0,356227,0,2503,0,2384,6,0,1400000,NO FUGA,0,SANTIAGO,15.77770285899382,14.151983508870947,0.007250792496052904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1
2065,2066,1455104,50.0,MED,CAS,56,131.0,RANCAGUA,170526,0,0,237899,1542,0,328,1,7900000,NO FUGA,0,RANCAGUA,14.190588620932418,15.882373444019521,0.04028146049060018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
2067,2068,1388479,50.0,MED,CAS,84,88.0,SANTIAGO,0,28107,0,164724,0,3786,2,1,7000000,FUGA,1,SANTIAGO,14.143720181592123,15.76142084987672,0.02022974162992125,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0
2068,2069,372219,49.0,UNV,CAS,28,118.0,SANTIAGO,0,178347,0,6727,142,0,0,1,1600000,FUGA,1,SANTIAGO,12.827240356297954,14.285514812209815,0.07108603114986453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
2069,2070,1652456,43.0,UNV,CAS,73,86.0,SANTIAGO,0,17149,0,0,560,0,0,2,3000000,FUGA,1,SANTIAGO,14.317773829189392,14.914123179965662,0.001531054382083396,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
2070,2071,765344,40.0,MED,CAS,10,5.0,IQUIQUE,0,144109,0,389802,290,0,501,1,4200000,NO FUGA,0,IQUIQUE,13.548081991539735,15.250595321348806,0.09980628692083933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
2071,2072,424142,39.0,UNV,CAS,64,314.0,COYHAIQUE,0,435688,0,756147,5453,49963,7361,2,5000000,NO FUGA,0,COYHAIQUE,12.957825941504268,15.424948670398354,0.42257175326053203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
2072,2073,50085,47.0,UNV,CAS,52,105.0,SANTIAGO,0,103315,0,0,60,0,0,2,5000000,FUGA,1,SANTIAGO,10.821496806904248,15.424948670398354,0.294858740141759,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
